Bit Width,Algorithm,Execution Time,CPU Usage,Memory Usage
256,Montgomery,4.7000066842883825e-06,29.2,26.46484375
256,Barrett,9.99998883344233e-06,30.9,26.46484375
256,Montgomery,4.6000059228390455e-06,31.5,26.46484375
256,Barrett,7.800001185387373e-06,30.0,26.46875
256,Montgomery,5.2000104915350676e-06,27.0,26.46875
256,Barrett,8.600007276982069e-06,33.5,26.46875
256,Montgomery,5.1000097300857306e-06,34.2,26.46875
256,Barrett,8.100003469735384e-06,26.9,26.46875
256,Montgomery,4.5000051613897085e-06,25.1,26.46875
256,Barrett,7.499998901039362e-06,21.7,26.46875
256,Montgomery,4.4000043999403715e-06,19.9,26.46875
256,Barrett,7.199996616691351e-06,31.7,26.46875
256,Montgomery,4.5000051613897085e-06,27.8,26.46875
256,Barrett,9.799987310543656e-06,31.8,26.46875
256,Montgomery,5.900015821680427e-06,29.5,26.46875
256,Barrett,1.2599979527294636e-05,28.6,26.46875
256,Montgomery,6.599992047995329e-06,25.7,26.46875
256,Barrett,8.700008038431406e-06,26.9,26.46875
256,Montgomery,5.299982149153948e-06,23.5,26.46875
256,Barrett,7.199996616691351e-06,25.7,26.46875
256,Montgomery,4.4000043999403715e-06,17.3,26.46875
256,Barrett,7.800001185387373e-06,21.7,26.46875
256,Montgomery,4.6000059228390455e-06,14.6,26.5
256,Barrett,7.099995855242014e-06,15.3,26.5
256,Montgomery,4.1000021155923605e-06,16.9,26.5
256,Barrett,8.500006515532732e-06,14.1,26.5
256,Montgomery,4.799978341907263e-06,17.3,26.5
256,Barrett,7.700000423938036e-06,15.7,26.5
256,Montgomery,5.0000089686363935e-06,14.4,26.5
256,Barrett,8.700008038431406e-06,15.8,26.5
256,Montgomery,5.099980626255274e-06,13.7,26.5
256,Barrett,8.199975127354264e-06,14.4,26.5
256,Montgomery,5.600013537332416e-06,15.9,26.5
256,Barrett,7.499998901039362e-06,14.5,26.5
256,Montgomery,4.8000074457377195e-06,17.2,26.5
256,Barrett,7.000024197623134e-06,14.6,26.5
256,Montgomery,4.399975296109915e-06,15.9,26.5
256,Barrett,7.90000194683671e-06,16.5,26.5
256,Montgomery,5.199981387704611e-06,14.2,26.5
256,Barrett,7.800001185387373e-06,14.6,26.5
256,Montgomery,4.8000074457377195e-06,13.5,26.50390625
256,Barrett,8.300004992634058e-06,14.6,26.50390625
256,Montgomery,4.7000066842883825e-06,16.1,26.50390625
256,Barrett,7.299997378140688e-06,15.1,26.50390625
256,Montgomery,4.4000043999403715e-06,13.5,26.50390625
256,Barrett,7.800001185387373e-06,13.5,26.50390625
256,Montgomery,4.9000082071870565e-06,14.2,26.50390625
256,Barrett,7.800001185387373e-06,17.9,26.5078125
256,Montgomery,5.3000112529844046e-06,14.6,26.5078125
256,Barrett,8.299975888803601e-06,14.4,26.5078125
256,Montgomery,5.1000097300857306e-06,16.2,26.5078125
256,Barrett,7.099995855242014e-06,15.1,26.5078125
256,Montgomery,4.499976057559252e-06,16.8,26.5078125
512,Barrett,5.699985194951296e-06,14.8,26.5078125
512,Montgomery,7.499998901039362e-06,14.0,26.5078125
512,Barrett,7.499998901039362e-06,14.5,26.51171875
512,Montgomery,8.500006515532732e-06,14.2,26.51171875
512,Barrett,8.300004992634058e-06,13.4,26.51171875
512,Montgomery,6.000016583129764e-06,17.9,26.51171875
512,Barrett,8.100003469735384e-06,13.8,26.51171875
512,Montgomery,5.5000127758830786e-06,16.1,26.51171875
512,Barrett,7.599999662488699e-06,15.0,26.51171875
512,Montgomery,5.0000089686363935e-06,13.8,26.51171875
512,Barrett,8.000002708286047e-06,15.3,26.51171875
512,Montgomery,5.5000127758830786e-06,15.9,26.51171875
512,Barrett,7.599999662488699e-06,14.5,26.51171875
512,Montgomery,5.5000127758830786e-06,13.7,26.51171875
512,Barrett,7.499998901039362e-06,14.1,26.51171875
512,Montgomery,6.299989763647318e-06,16.0,26.51171875
512,Barrett,8.000002708286047e-06,13.8,26.51171875
512,Montgomery,5.3000112529844046e-06,14.6,26.51171875
512,Barrett,6.89999433234334e-06,13.7,26.51171875
512,Montgomery,5.199981387704611e-06,15.2,26.51171875
512,Barrett,8.499977411702275e-06,15.2,26.51171875
512,Montgomery,6.000016583129764e-06,13.2,26.51171875
512,Barrett,7.799972081556916e-06,14.3,26.51171875
512,Montgomery,6.100017344579101e-06,13.8,26.51171875
512,Barrett,6.999995093792677e-06,13.9,26.51171875
512,Montgomery,4.999979864805937e-06,15.2,26.51171875
512,Barrett,7.599999662488699e-06,13.6,26.515625
512,Montgomery,5.599984433501959e-06,14.1,26.515625
512,Barrett,1.270000939257443e-05,14.2,26.515625
512,Montgomery,8.100003469735384e-06,14.4,26.515625
512,Barrett,8.200004231184721e-06,16.4,26.515625
512,Montgomery,5.4000120144337416e-06,14.8,26.515625
512,Barrett,8.600007276982069e-06,13.6,26.515625
512,Montgomery,5.999987479299307e-06,14.7,26.515625
512,Barrett,9.399984264746308e-06,13.9,26.515625
512,Montgomery,6.299989763647318e-06,15.9,26.515625
512,Barrett,7.599999662488699e-06,14.0,26.515625
512,Montgomery,5.199981387704611e-06,14.0,26.515625
512,Barrett,7.90000194683671e-06,13.4,26.515625
512,Montgomery,5.299982149153948e-06,13.9,26.515625
512,Barrett,9.099981980398297e-06,16.6,26.515625
512,Montgomery,6.000016583129764e-06,14.0,26.515625
512,Barrett,7.499998901039362e-06,13.7,26.515625
512,Montgomery,5.399982910603285e-06,15.0,26.515625
512,Barrett,1.0799994925037026e-05,15.5,26.515625
512,Montgomery,7.099995855242014e-06,14.4,26.515625
512,Barrett,7.499998901039362e-06,16.8,26.515625
512,Montgomery,5.499983672052622e-06,13.8,26.515625
512,Barrett,7.399998139590025e-06,13.7,26.515625
512,Montgomery,5.600013537332416e-06,13.8,26.515625
512,Barrett,8.500006515532732e-06,14.5,26.515625
512,Montgomery,5.700014298781753e-06,17.1,26.515625
512,Barrett,7.199996616691351e-06,13.7,26.51953125
